transcript_id,company,speaker_role,risk_type,expectations
15.0,Allegheny Technologies Incorporated,CEO,market,neutral
15.0,Allegheny Technologies Incorporated,CEO,supply chain,neutral
15.0,Allegheny Technologies Incorporated,CEO,market,neutral
15.0,Allegheny Technologies Incorporated,CFO,market,neutral
15.0,Allegheny Technologies Incorporated,CFO,operational,neutral
15.0,Allegheny Technologies Incorporated,CFO,market,neutral
15.0,Allegheny Technologies Incorporated,CFO,market,neutral
15.0,Allegheny Technologies Incorporated,CFO,market,neutral
15.0,Allegheny Technologies Incorporated,CFO,operational,neutral
15.0,Allegheny Technologies Incorporated,CFO,market,neutral
16.0,Brunswick Corporation,Dusty McCoy,financial,neutral
16.0,Brunswick Corporation,Dusty McCoy,operational,neutral
16.0,Brunswick Corporation,Dusty McCoy,financial,neutral
16.0,Brunswick Corporation,Dusty McCoy,operational,neutral
16.0,Brunswick Corporation,Dusty McCoy,operational,neutral
16.0,Brunswick Corporation,Dusty McCoy,operational,neutral
16.0,Brunswick Corporation,Dusty McCoy,operational,neutral
16.0,Brunswick Corporation,Dusty McCoy,financial,neutral
17.0,Chevron,CFO,market price,neutral
17.0,Chevron,CFO,operational,neutral
17.0,Chevron,CFO,market price,neutral
17.0,Chevron,CFO,operational,neutral
17.0,Chevron,CFO,operational,neutral
17.0,Chevron,CFO,operational,neutral
17.0,Chevron,CFO,operational,neutral
17.0,Chevron,CFO,operational,neutral
17.0,Chevron,CFO,operational,neutral
17.0,Chevron,CFO,operational,neutral
17.0,Chevron,CFO,operational,neutral
17.0,Chevron,CFO,operational,neutral
17.0,Chevron,CFO,operational,neutral
18.0,Kellogg Company,CEO,economic slowdown,neutral
18.0,Kellogg Company,CFO,commodity inflation,neutral
18.0,Kellogg Company,CFO,higher tax rate,neutral
18.0,Kellogg Company,CEO,volatile cost inflation,neutral
19.0,Walgreen,CEO,economic downturn,neutral
19.0,Walgreen,CFO,industry trends,neutral
19.0,Walgreen,President,industry trends,neutral
19.0,Walgreen,Treasurer,industry trends,neutral
20.0,International Paper,CEO,input costs,neutral
20.0,International Paper,CEO,market conditions,neutral
20.0,International Paper,CEO,input costs,neutral
20.0,International Paper,CEO,interest costs,neutral
20.0,International Paper,CEO,input costs,neutral
20.0,International Paper,CEO,input costs,neutral
20.0,International Paper,CEO,input costs,neutral
20.0,International Paper,CEO,input costs,neutral
21.0,Exelon,CEO,operational,neutral
21.0,Exelon,CEO,operational,neutral
21.0,Exelon,CEO,operational,neutral
21.0,Exelon,CEO,operational,neutral
22.0,Xerox Corporation,Anne M. Mulcahy,operational,neutral
22.0,Xerox Corporation,Anne M. Mulcahy,operational,neutral
22.0,Xerox Corporation,Anne M. Mulcahy,operational,neutral
22.0,Xerox Corporation,Anne M. Mulcahy,operational,neutral
22.0,Xerox Corporation,Anne M. Mulcahy,operational,neutral
22.0,Xerox Corporation,Anne M. Mulcahy,operational,neutral
22.0,Xerox Corporation,Anne M. Mulcahy,operational,neutral
22.0,Xerox Corporation,Anne M. Mulcahy,operational,neutral
23.0,Amgen Inc.,VP of IR,regulatory,neutral
23.0,Amgen Inc.,"Chairman, CEO and President",market,neutral
23.0,Amgen Inc.,CFO,market,neutral
23.0,Amgen Inc.,Head of Commercial Operations,market,neutral
23.0,Amgen Inc.,Head of Research and Development,research,neutral
23.0,Amgen Inc.,"Chairman, Chief Executive Officer and President",regulatory,neutral
23.0,Amgen Inc.,CFO,market,neutral
23.0,Amgen Inc.,Head of Commercial Operations,market,neutral
23.0,Amgen Inc.,Head of Research and Development,research,neutral
23.0,Amgen Inc.,"Chairman, Chief Executive Officer and President",market,neutral
24.0,GM,Mike DiGiovanni,economic downturn,neutral
24.0,GM,Mike DiGiovanni,financial market turmoil,neutral
24.0,GM,Mike DiGiovanni,economic recession,neutral
24.0,GM,Mike DiGiovanni,financial market turmoil,neutral
24.0,GM,Mike DiGiovanni,economic recession,neutral
24.0,GM,Mike DiGiovanni,financial market turmoil,neutral
24.0,GM,Mike DiGiovanni,economic recession,neutral
24.0,GM,Mike DiGiovanni,financial market turmoil,neutral
24.0,GM,Mike DiGiovanni,economic recession,neutral
24.0,GM,Mike DiGiovanni,financial market turmoil,neutral
25.0,Terex Corporation,Ronald M. DeFeo - Chairman and Chief Executive Officer,cost environment,neutral
25.0,Terex Corporation,Ronald M. DeFeo - Chairman and Chief Executive Officer,forecasting,neutral
25.0,Terex Corporation,Ronald M. DeFeo - Chairman and Chief Executive Officer,input costs,neutral
25.0,Terex Corporation,Ronald M. DeFeo - Chairman and Chief Executive Officer,forecasting,neutral
25.0,Terex Corporation,Ronald M. DeFeo - Chairman and Chief Executive Officer,cost increase,neutral
26.0,None,"Executive Vice President, Finance and Chief Financial Officer",raw material cost,neutral
26.0,None,"Executive Vice President, Finance and Chief Financial Officer",weak demand,neutral
26.0,None,"Executive Vice President, Finance and Chief Financial Officer",tax rate,neutral
27.0,Travelers,"Senior Vice President, Investor Relations",market disruption,neutral
27.0,Travelers,Chairman and CEO,financial market disruption,neutral
27.0,Travelers,Chief Financial Officer,financial market disruption,neutral
27.0,Travelers,President and Chief Operating Officer,market disruption,neutral
27.0,Travelers,"Executive Vice President, Personal Insurance and Select Accounts",market disruption,neutral
27.0,Travelers,Chief Investment Officer,market disruption,neutral
27.0,Travelers,Chief Legal Officer,market disruption,neutral
28.0,GM,CEO,market,neutral
28.0,GM,CEO,market,neutral
28.0,GM,CEO,operational,neutral
28.0,GM,CEO,operational,neutral
28.0,GM,CEO,operational,neutral
28.0,GM,CEO,operational,neutral
28.0,GM,CEO,financial,neutral
28.0,GM,CEO,operational,neutral
28.0,GM,CEO,operational,neutral
28.0,GM,CEO,operational,neutral
28.0,GM,CEO,operational,neutral
28.0,GM,CEO,financial,neutral
29.0,Newmont Mining Corporation,President and CEO,operational,neutral
29.0,Newmont Mining Corporation,President and CEO,operational,neutral
29.0,Newmont Mining Corporation,President and CEO,external,neutral
29.0,Newmont Mining Corporation,President and CEO,operational,neutral
29.0,Newmont Mining Corporation,President and CEO,operational,neutral
29.0,Newmont Mining Corporation,President and CEO,operational,neutral
29.0,Newmont Mining Corporation,President and CEO,operational,neutral
29.0,Newmont Mining Corporation,President and CEO,external,neutral
29.0,Newmont Mining Corporation,President and CEO,operational,neutral
29.0,Newmont Mining Corporation,President and CEO,external,neutral
29.0,Newmont Mining Corporation,President and CEO,operational,neutral
30.0,Simon Property Group,VP of IR,economic,neutral
31.0,The Allstate Corporation,CEO,economic recession,neutral
31.0,The Allstate Corporation,CFO,market volatility,neutral
31.0,The Allstate Corporation,CEO,catastrophes,neutral
31.0,The Allstate Corporation,CFO,fixed income markets,neutral
31.0,The Allstate Corporation,CEO,catastrophes,neutral
31.0,The Allstate Corporation,CFO,investment portfolio,neutral
31.0,The Allstate Corporation,CEO,economic recession,neutral
31.0,The Allstate Corporation,CFO,market volatility,neutral
31.0,The Allstate Corporation,CEO,economic recession,neutral
32.0,IAC,CFO,margin,neutral
33.0,Lennar,CEO,economic downturn,neutral
33.0,Lennar,CEO,economic downturn,neutral
33.0,Lennar,CEO,economic downturn,neutral
33.0,Lennar,CEO,inflation,neutral
33.0,Lennar,CEO,economic downturn,neutral
34.0,Republic Services,CEO,economic downturn,neutral
35.0,BB&T Corp,CEO,credit quality,neutral
35.0,BB&T Corp,CEO,margin,neutral
35.0,BB&T Corp,CEO,interest rate risk,neutral
35.0,BB&T Corp,CFO,loan loss reserves,neutral
35.0,BB&T Corp,CFO,interest rate risk,neutral
35.0,BB&T Corp,CFO,interest rate risk,neutral
36.0,"Agilent Technologies, Inc.","VP, IR",economic environment,neutral
36.0,"Agilent Technologies, Inc.",CEO,market weakness,neutral
36.0,"Agilent Technologies, Inc.","CFO and EVP, Finance and Administration",market weakness,neutral
36.0,"Agilent Technologies, Inc.","VP, IR",forward-looking statements,neutral
37.0,FedEx,CEO,macroeconomic,neutral
37.0,FedEx,CEO,fuel prices,neutral
37.0,FedEx,CEO,automotive market,neutral
37.0,FedEx,CEO,financial crisis,neutral
37.0,FedEx,CEO,housing industry,neutral
38.0,DENTSPLY International,CEO,economic,neutral
38.0,DENTSPLY International,CEO,competitive,neutral
38.0,DENTSPLY International,CEO,market,neutral
38.0,DENTSPLY International,CEO,competitive,neutral
38.0,DENTSPLY International,CEO,competitive,neutral
38.0,DENTSPLY International,CEO,competitive,neutral
39.0,Danaher,"Vice President, Investor Relations",soft demand,neutral
39.0,Danaher,President and Chief Executive Officer,soft demand,neutral
39.0,Danaher,Chief Financial Officer,soft demand,neutral
39.0,Danaher,"Vice President, Investor Relations",acquisition related charges,neutral
39.0,Danaher,President and Chief Executive Officer,acquisition related charges,neutral
39.0,Danaher,Chief Financial Officer,acquisition related charges,neutral
40.0,Hershey,CEO,market conditions,neutral
40.0,Hershey,CFO,operational,neutral
40.0,Hershey,CEO,market conditions,neutral
40.0,Hershey,CFO,operational,neutral
40.0,Hershey,CEO,market conditions,neutral
40.0,Hershey,CFO,operational,neutral
41.0,Bed Bath & Beyond,CEO,industry,neutral
41.0,Bed Bath & Beyond,CEO,macroeconomic,neutral
42.0,International Paper,CEO,input costs,neutral
42.0,International Paper,CFO,input costs,neutral
42.0,International Paper,CFO,input costs,neutral
42.0,International Paper,CFO,input costs,neutral
42.0,International Paper,CFO,input costs,neutral
42.0,International Paper,CFO,input costs,neutral
42.0,International Paper,CFO,input costs,neutral
42.0,International Paper,CFO,input costs,neutral
43.0,NiSource,CEO,economic environment,neutral
43.0,NiSource,CEO,market volatility,neutral
43.0,NiSource,CEO,operational,neutral
43.0,NiSource,CEO,earnings pressures,neutral
44.0,"Analog Devices, Inc.","Executive Director, Investor Relations",financial,neutral
44.0,"Analog Devices, Inc.",CEO,financial,neutral
44.0,"Analog Devices, Inc.",Group President,financial,neutral
44.0,"Analog Devices, Inc.","Vice President, Finance",financial,neutral
44.0,"Analog Devices, Inc.",CEO,financial,neutral
45.0,Transocean Inc.,VP IR and Communications,operational,neutral
45.0,Transocean Inc.,CEO,operational,neutral
45.0,Transocean Inc.,CFO,operational,neutral
45.0,Transocean Inc.,Marketing & Planning,operational,neutral
45.0,Transocean Inc.,CEO,operational,neutral
45.0,Transocean Inc.,CFO,operational,neutral
45.0,Transocean Inc.,Marketing & Planning,operational,neutral
45.0,Transocean Inc.,CEO,operational,neutral
45.0,Transocean Inc.,CFO,operational,neutral
45.0,Transocean Inc.,Marketing & Planning,operational,neutral
46.0,Caterpillar Inc.,CEO,economic downturn,neutral
46.0,Caterpillar Inc.,CFO,operational,neutral
46.0,Caterpillar Inc.,CEO,economic downturn,neutral
46.0,Caterpillar Inc.,CFO,operational,neutral
46.0,Caterpillar Inc.,CEO,economic downturn,neutral
47.0,John Deere,VP IR,market,neutral
47.0,John Deere,CFO,market,neutral
47.0,John Deere,Manager IR,market,neutral
47.0,John Deere,Director IR,market,neutral
47.0,John Deere,IR,market,neutral
47.0,John Deere,CFO,operational,neutral
47.0,John Deere,Manager IR,market,neutral
47.0,John Deere,Director IR,market,neutral
47.0,John Deere,IR,market,neutral
47.0,John Deere,CFO,operational,neutral
47.0,John Deere,Manager IR,market,neutral
47.0,John Deere,Director IR,market,neutral
47.0,John Deere,IR,market,neutral
47.0,John Deere,CFO,operational,neutral
47.0,John Deere,Manager IR,market,neutral
47.0,John Deere,Director IR,market,neutral
47.0,John Deere,IR,market,neutral
48.0,None,CEO,forward looking,neutral
48.0,None,CFO,forward looking,neutral
48.0,None,CFO,forward looking,neutral
48.0,None,CFO,forward looking,neutral
49.0,LabCorp,CEO,economic,neutral
49.0,LabCorp,CFO,financial,neutral
49.0,LabCorp,CFO,operational,neutral
49.0,LabCorp,CFO,financial,neutral
50.0,"AMETEK, Inc.",CEO,economic downturn,neutral
51.0,Rock-Tenn,CFO,operational,neutral
51.0,Rock-Tenn,CFO,operational,neutral
51.0,Rock-Tenn,CFO,operational,neutral
51.0,Rock-Tenn,CFO,operational,neutral
51.0,Rock-Tenn,CFO,operational,neutral
51.0,Rock-Tenn,CFO,operational,neutral
51.0,Rock-Tenn,CFO,operational,neutral
51.0,Rock-Tenn,CFO,operational,neutral
51.0,Rock-Tenn,CFO,operational,neutral
51.0,Rock-Tenn,CFO,operational,neutral
52.0,NiSource,"Senior VP, Corporate Affairs",financial,neutral
52.0,NiSource,President and Chief Executive Officer,financial,neutral
52.0,NiSource,Executive Vice President and Chief Financial Officer,financial,neutral
52.0,NiSource,"Senior VP, Corporate Affairs",financial,neutral
53.0,Broadcom Inc.,CEO,economic conditions,neutral
53.0,Broadcom Inc.,CFO,economic conditions,neutral
53.0,Broadcom Inc.,"VP, Investor Relations",general economic conditions,neutral
54.0,"Cardinal Health, Inc.",Kerry Clark,operational,neutral
54.0,"Cardinal Health, Inc.",Kerry Clark,market,neutral
54.0,"Cardinal Health, Inc.",Kerry Clark,operational,neutral
54.0,"Cardinal Health, Inc.",Kerry Clark,market,neutral
54.0,"Cardinal Health, Inc.",Kerry Clark,operational,neutral
54.0,"Cardinal Health, Inc.",Kerry Clark,operational,neutral
54.0,"Cardinal Health, Inc.",Kerry Clark,operational,neutral
55.0,Union Pacific,"Chairman, CEO and President",economic weakness,neutral
55.0,Union Pacific,CFO,fuel prices,neutral
55.0,Union Pacific,"Chairman, CEO and President",weather challenges,neutral
55.0,Union Pacific,"Executive Vice President, Marketing and Sales",American Axle Strike,negative
55.0,Union Pacific,"Executive Vice President, Marketing and Sales",construction markets,neutral
55.0,Union Pacific,"Executive Vice President, Marketing and Sales",economic softness,neutral
56.0,Yum! Brands,CEO,commodity inflation,neutral
56.0,Yum! Brands,CEO,unexpected events,neutral
56.0,Yum! Brands,CEO,economic downturn,neutral
57.0,International Flavors & Fragrances,Director of Corporate Communications,economic challenges,neutral
58.0,Amylin Pharmaceuticals,"Senior Director, IR",sales performance,neutral
58.0,Amylin Pharmaceuticals,President and Chief Executive Officer,sales performance,neutral
58.0,Amylin Pharmaceuticals,"Senior Vice President, Finance and Chief Financial Officer",sales performance,neutral
58.0,Amylin Pharmaceuticals,"Senior Vice President, Finance and Chief Financial Officer",inventory management,neutral
59.0,"AMETEK, Inc.",CEO,acquisition impact,neutral
59.0,"AMETEK, Inc.",CEO,currency fluctuation,neutral
59.0,"AMETEK, Inc.",CEO,stock price volatility,neutral
59.0,"AMETEK, Inc.",CFO,acquisition impact,neutral
59.0,"AMETEK, Inc.",CFO,acquisition impact,neutral
59.0,"AMETEK, Inc.",CFO,acquisition impact,neutral
59.0,"AMETEK, Inc.",CEO,acquisition impact,neutral
59.0,"AMETEK, Inc.",CEO,acquisition impact,neutral
60.0,Vulcan Materials,CEO,economic uncertainty,neutral
60.0,Vulcan Materials,CEO,financial market turmoil,neutral
60.0,Vulcan Materials,CEO,credit standards,neutral
60.0,Vulcan Materials,CEO,demand weakness,neutral
60.0,Vulcan Materials,CEO,lower volumes,neutral
60.0,Vulcan Materials,CEO,price improvement,neutral
60.0,Vulcan Materials,CEO,cost control,neutral
60.0,Vulcan Materials,CEO,fuel cost,neutral
60.0,Vulcan Materials,CEO,unit variable production cost,neutral
60.0,Vulcan Materials,CEO,cost control,neutral
60.0,Vulcan Materials,CEO,aggregate shipments,neutral
60.0,Vulcan Materials,CEO,aggregate shipments,neutral
60.0,Vulcan Materials,CEO,aggregate prices,neutral
60.0,Vulcan Materials,CEO,asphalt volumes,neutral
60.0,Vulcan Materials,CEO,asphalt prices,neutral
60.0,Vulcan Materials,CEO,asphalt prices,neutral
60.0,Vulcan Materials,CEO,liquid asphalt prices,neutral
61.0,FLIR Systems,CEO,economic,neutral
61.0,FLIR Systems,CEO,currency,neutral
61.0,FLIR Systems,CEO,business unit,neutral
61.0,FLIR Systems,CEO,business unit,neutral
62.0,eBay,CEO,competitive environment,neutral
62.0,eBay,CFO,"regulatory tax, IP and litigation risks",neutral
62.0,eBay,CFO,technology infrastructure,neutral
62.0,eBay,CFO,foreign exchange rate fluctuations,neutral
62.0,eBay,CFO,"political, business, and economic conditions",neutral
62.0,eBay,CFO,business model expansion,neutral
62.0,eBay,CFO,integration of acquisitions,neutral
63.0,NIKE,CEO,exchange rate fluctuations,neutral
63.0,NIKE,CEO,order cancellations and discounts,neutral
63.0,NIKE,CEO,rising cost environment,neutral
63.0,NIKE,CEO,building profitable new store concepts,neutral
64.0,Allegheny Technologies,CEO,demand,neutral
64.0,Allegheny Technologies,CFO,operational,neutral
64.0,Allegheny Technologies,CEO,demand,neutral
64.0,Allegheny Technologies,CFO,operational,neutral
64.0,Allegheny Technologies,CEO,demand,neutral
65.0,Symantec,"Vice President, Investor Relations",economic,neutral
66.0,RR Donnelley,CEO,economic downturn,neutral
66.0,RR Donnelley,CEO,competitive,neutral
66.0,RR Donnelley,CEO,competitive,neutral
66.0,RR Donnelley,CEO,economic downturn,neutral
67.0,Expedia Inc,CEO,market uncertainty,neutral
67.0,Expedia Inc,CEO,air carrier capacity reduction,neutral
67.0,Expedia Inc,CEO,consumer behavior,neutral
67.0,Expedia Inc,CEO,macroeconomic conditions,neutral
67.0,Expedia Inc,CEO,competitive landscape,neutral
68.0,PPG Industries,CEO,economic downturn,negative
68.0,PPG Industries,CEO,market decline,negative
68.0,PPG Industries,CEO,industry activity,negative
68.0,PPG Industries,CEO,operating losses,negative
68.0,PPG Industries,CEO,economic conditions,negative
68.0,PPG Industries,CEO,inflation,negative
69.0,CBS Corporation,Executive Vice President of Investor Relations,financial,neutral
69.0,CBS Corporation,Executive Chairman,financial,neutral
69.0,CBS Corporation,President and Chief Executive Officer,financial,neutral
69.0,CBS Corporation,Executive Vice President and Chief Financial Officer,financial,neutral
69.0,National Amusements,Executive Chairman,financial,neutral
69.0,National Amusements,President and Chief Executive Officer,financial,neutral
69.0,National Amusements,Executive Vice President and Chief Financial Officer,financial,neutral
69.0,National Amusements,Executive Chairman,financial,neutral
69.0,National Amusements,President and Chief Executive Officer,financial,neutral
69.0,National Amusements,Executive Vice President and Chief Financial Officer,financial,neutral
69.0,National Amusements,Executive Chairman,financial,neutral
69.0,National Amusements,President and Chief Executive Officer,financial,neutral
69.0,National Amusements,Executive Vice President and Chief Financial Officer,financial,neutral
70.0,Nucor Corporation,"Daniel R. DiMicco - Chairman, President and Chief Executive Officer",raw material cost,neutral
70.0,Nucor Corporation,"Daniel R. DiMicco - Chairman, President and Chief Executive Officer",raw material cost,neutral
70.0,Nucor Corporation,"Daniel R. DiMicco - Chairman, President and Chief Executive Officer",inventory valuation,neutral
71.0,United States Steel Corporation,CEO,market conditions,neutral
72.0,Cincinnati Financial,CEO,management transition,neutral
72.0,Cincinnati Financial,CFO,new financial leadership,neutral
72.0,Cincinnati Financial,CEO,forward-looking statements,neutral
73.0,Interpublic Group,CEO,economic slowdown,neutral
73.0,Interpublic Group,CEO,client spend,neutral
73.0,Interpublic Group,CEO,volatile business environment,neutral
74.0,Johnson Controls,Operator,economic uncertainty,neutral
74.0,Johnson Controls,Glen Ponczak,economic uncertainty,neutral
74.0,Johnson Controls,Steve Roell,economic uncertainty,neutral
74.0,Johnson Controls,Steve Roell,commodity price fluctuation,neutral
74.0,Johnson Controls,Steve Roell,acquisition integration,neutral
75.0,Cisco Systems,John Chambers,forward-looking statements,neutral
75.0,Cisco Systems,John Chambers,material event or acquisition,neutral
76.0,Yum! Brands,CEO,economic trends,neutral
76.0,Yum! Brands,CEO,lapped year-ago results,neutral
77.0,Stanley Works,CEO,volume decline,neutral
77.0,Stanley Works,CEO,macroeconomic conditions,neutral
77.0,Stanley Works,CEO,volume decline,neutral
77.0,Stanley Works,CEO,volume decline,neutral
78.0,Goldman Sachs,CEO,market volatility,neutral
78.0,Goldman Sachs,CFO,credit risk,neutral
78.0,Goldman Sachs,CFO,asset price decline,neutral
78.0,Goldman Sachs,CFO,illiquidity,neutral
78.0,Goldman Sachs,CFO,credit risk,neutral
78.0,Goldman Sachs,CFO,default risk,neutral
78.0,Goldman Sachs,CFO,market volatility,neutral
78.0,Goldman Sachs,CFO,market volatility,neutral
79.0,Host Hotels & Resorts,CEO,economic,neutral
79.0,Host Hotels & Resorts,CFO,operational,neutral
79.0,Host Hotels & Resorts,CEO,market,neutral
79.0,Host Hotels & Resorts,CFO,financial,neutral
79.0,Host Hotels & Resorts,CEO,market,neutral
79.0,Host Hotels & Resorts,CFO,operational,neutral
79.0,Host Hotels & Resorts,CEO,market,neutral
79.0,Host Hotels & Resorts,CFO,operational,neutral
79.0,Host Hotels & Resorts,CEO,market,neutral
79.0,Host Hotels & Resorts,CFO,operational,neutral
80.0,Duke Energy,"Senior VP, IR and Financial Planning",neutral,neutral
80.0,Duke Energy,"Chairman, President and CEO",neutral,neutral
80.0,Duke Energy,Group Executive and Chief Financial Officer,neutral,neutral
80.0,Duke Energy,"Chairman, President and CEO",neutral,neutral
80.0,Duke Energy,Group Executive and Chief Financial Officer,neutral,neutral
81.0,TSYS,CEO,operational,neutral
81.0,TSYS,CEO,operational,neutral
81.0,TSYS,CEO,market,neutral
81.0,TSYS,CFO,operational,neutral
82.0,"Alexandria Real Estate Equities, Inc.",CEO,economic downturn,neutral
82.0,"Alexandria Real Estate Equities, Inc.",CEO,interest rates,neutral
82.0,"Alexandria Real Estate Equities, Inc.",CEO,tenant financial health,neutral
82.0,"Alexandria Real Estate Equities, Inc.",CEO,capital expenditure,neutral
82.0,"Alexandria Real Estate Equities, Inc.",CEO,tenant financial health,neutral
82.0,"Alexandria Real Estate Equities, Inc.",CEO,cost of capital,neutral
83.0,Murphy Oil Corporation,CEO,market price,neutral
83.0,Murphy Oil Corporation,CFO,market price,neutral
83.0,Murphy Oil Corporation,CEO,operational,neutral
83.0,Murphy Oil Corporation,CFO,operational,neutral
83.0,Murphy Oil Corporation,CEO,operational,neutral
83.0,Murphy Oil Corporation,CFO,operational,neutral
83.0,Murphy Oil Corporation,CEO,market price,neutral
83.0,Murphy Oil Corporation,CFO,market price,neutral
83.0,Murphy Oil Corporation,CEO,operational,neutral
83.0,Murphy Oil Corporation,CFO,market price,neutral
83.0,Murphy Oil Corporation,CEO,operational,neutral
83.0,Murphy Oil Corporation,CFO,market price,neutral
84.0,Kansas City Southern,CEO,operational,neutral
84.0,Kansas City Southern,CEO,operational,neutral
84.0,Kansas City Southern,CFO,operational,neutral
84.0,Kansas City Southern,CEO,financial,neutral
84.0,Kansas City Southern,CEO,operational,neutral
85.0,Bunge Global SA,CEO,market volatility,neutral
85.0,Bunge Global SA,CEO,input costs,neutral
85.0,Bunge Global SA,CEO,political/regulatory,neutral
85.0,Bunge Global SA,CEO,operational,neutral
85.0,Bunge Global SA,CFO,currency,neutral
85.0,Bunge Global SA,CFO,legal/regulatory,neutral
86.0,Southwest Airlines,CEO,economic downturn,neutral
87.0,Clorox,VP of IR,margin decline,neutral
